Name,sectors,cross-cutting sector,country,Province(s),District(s),city,"address: street, town, district, province, postal, country",web address,email,phone,contact person
80:20 Educating and Acting for a Better World (Zambia),Community Development,Gender,Zambia,,,,"PO Box 33102,,, Lusaka,, Zambia",http://www.8020.ie/,8020@zamnet.zm,260-21-125-2341,
AAH-I - Action Africa Help-International (Zambia),Community Development,Refugees,Zambia,"Luapula, Northern","Kawambwa, Mporokoso",,"Postnet 303, Manda Hill,, Lusaka,, Zambia",http://www.actionafricahelp.org/,zambia@actionafricahelp.org,260-21-129- 4840,
AAR - Association for Aid and Relief (Zambia),"Health, Community Development","HIV/AIDS, Refugees",Zambia,Northwestern,Solwezi,,"PO Box 34170,,, Lusaka,, Zambia",http://www.aarjapan.gr.jp/,,260-21-127-4312,
ACF - Agricultural Consultative Forum (Zambia),Agriculture,Agriculture,Zambia,,,,"Private Bag 16, Woodlands,, Lusaka,, Zambia",http://www.acf.org.zm/,acfs@zamnet.zm,260-21-126-0767 260-21-126-0767,
ActionAid Denmark / MS - Mellemfolkeligt Samvirke (Zambia) ,"Community Development, Youth","Land Rights, Democracy",Zambia,"Eastern, Luapula, Lusaka",,,"PO Box 35788,,, Lusaka,, Zambia",http://www.actionaid.dk/,,260-21-125-2605,
AEAZ - Adult Education Association of Zambia,Education,,Zambia,,,,"PO Box 37879,,, Lusaka,, Zambia",,adulteducationlusaka@yahoo.com,260-21-125-1477,
Africa Now (Zambia) ,Agriculture,,Zambia,Southern,"Kazungula, Livingstone",,"PO Box 60907,,, Livingstone,, Zambia",http://www.africanow.org/,zambia@africanow.org,260-21- 332-2289,
Africare (Zambia) ,"Health, Youth, Community Development","Health, HIV/AIDS, Gender, Youth Livelihoods, Water and Sanitation",Zambia,,,,"PO Box 33921,,, Lusaka,, Zambia",http://www.africare.org/,africare@zamnet.zm africare@africare.org.zm,260-21-126-4406,
Afronet (Zambia) - Inter-African Network for Human Rights and Development,Community Development,Human Rights,Zambia,,,,"PO Box 31145, Rhodes Park,, Lusaka,, Zambia",http://www.afronet.org.za,info@afronet.org.zm,260-21-125-1814,
Afya Mzuri (Zambia),Health,HIV/AIDS,Zambia,,,,"PO Box 51232,,, Lusaka,, Zambia",http://www.afyamzuri.org.zm/,enquiries@afyamzuri.org.zm,260-21-123-2942,
AHA (Zambia) - Africa Humanitarian Action,"Health, Community Development","HIV/AIDS, Water and Sanitation, Refugees",Zambia,Northwestern,Solwezi,,"Postnet #366 P/Bag E891,,, Lusaka,, Zambia",http://www.africahumanitarian.org/,zambia@africahumanitarian.org,260-21-129-0075,
AIDSChannel (Zambia),Health,HIV/AIDS,Zambia,,,,"PO Box 37011, Roma,, Lusaka,, Zambia",http://www.aidschannel.org/,aids@oneworld.net,260-21-129-2740,
AMA - Africa Muslims Agency (Zambia),Agriculture,,Zambia,,,,"P/B E694,,, Lusaka, 10101, Zambia",http://www.africamuslimsagency.co.za/,africama@zamnet.zm,260-21-127-4974,
AMDA - Association of Medical Doctors of Asia (Zambia),"Health, Community Development","Tuberculosis, Community Finance",Zambia,Lusaka,Lusaka,,"PO Box 37075,,, Lusaka,, Zambia",http://www.amda-minds.org/english/index.html,amdazamb@zamnet.zm,260-21- 123-2047,
AMIZ - Association of Microfinance Institutions in Zambia ,"Business, Community Development",Microfinance,Zambia,,,,"PO Box 30367,,, Lusaka,, Zambia",http://amiz-zambia.org,amiz@zamtel.zm amiz@coppernet.zm  ,260-21-123-6258,
